coach_id,full_name,position,team_id
8055be70-5859-11ed-8cd1-83922cc46043,Shawn Watson,Head Coach,46188043-b51d-41f5-9e76-b72ee3263ccc
941f25fb-2e29-4d42-b753-781fb6afe364,Felton Huggins Jr.,Head Coach,67f319bb-fdae-4d0c-81ca-544c08c86f94
7de24d40-b2e2-11ee-998f-99c140483d25,Cris Dishman,Head Coach,f9ae197b-be07-4c7b-9149-2e134cf4b677
12fc3a80-8870-11f0-ad7d-091e984301a4,Brian Jenkins Sr.,Interim Head Coach,f569e80e-ddce-4de6-a5cd-427f3e1454d0
123a2c61-2430-49cd-9fc0-914e7914ada4,Bob Surace,Head Coach,fbd30b5d-6d84-49f7-abf1-c2c73f9e2458
fe510c51-d2e8-456c-afb8-848892ca215a,Lincoln Riley,Head Coach,8f496f34-14e3-4ca7-958b-53f6da0b74d6
48fe3192-bb41-4c91-8820-6ba8d9b2b9da,Bruce Barnum,Head Coach,1e3f5ade-a73e-44d5-a042-0a32f291d6f4
bd63d6ff-7450-475d-9244-593cab44145f,Tyrone Wheatley,Head Coach,7d4be479-e23d-451e-9533-b01fa875a782
1586d8f0-847e-11f0-a497-dbf0ef52ea1b,Eric Potochney,Head Coach,c8a2e426-e152-4c79-8f7c-33372a42e1a7
dcee6760-9c12-11ee-8751-1b7580943bdc,Mike Gennetti,Head Coach,5490b68d-5834-47d8-bddc-d78005b917f1
beb0bfc0-614b-11ee-b1bf-bfe087742679,Sherrone Moore,Head Coach,d3e8c416-e643-4d5e-be9e-c598a150b234
03977453-aa9e-4b0e-893d-405ab704a0b5,Mike Schmidt,Head Coach,5c6f90b9-651c-4f9d-b118-9bee6b77ca80
d388dd75-d30d-4ceb-9f4e-0dcf04ce1f81,Arne Ferguson,Head Coach,dd35a796-5290-4866-a4d2-4abc6849ba6d
